NO,E.91,BTH,E.8A,E.66A,E.87,WY,RE
1,151.388,137.21,148.334,141.048,139.964,142.231,136.282
2,151.6287059,137.21,148.6178235,141.4345294,139.949,142.2228,136.284
3,152.2123529,137.132,148.9075294,138.9992941,139.967,142.2027,136.262
4,149.8123529,135.95,143.1972353,137.8959412,140.012,142.1551,136.262
5,148.9497647,134.768,142.3067647,138.4057059,140.027,142.0989,136.257
6,147.638,133.528,140.82,138.1386471,137.874,142.0372,136.257
7,146.5727059,132.075,138.0807647,136.182,135.408,142.0172,136.38
8,145.2405882,131.038,136.3598824,132.6148235,134.929,142.0044,131.49
9,142.7912941,130,134.604,129.2410588,134.741,142.0015,123.83
10,141.1704118,129.522,133.1904706,127.5945882,134.154,142.0918,123.83
11,140.2784706,129.481,132.584,127.334,133.509,142.2753,123.896
12,140.2758235,129.743,132.4516471,127.1310588,132.684,127.2265,123.896
13,139.1440588,129.494,132.4387059,127.3898824,131.832,127.1829,123.896
14,139.1175882,129.655,132.7575294,128.7587059,130.981,127.1392,123.896
15,139.2793529,130.004,133.4192941,128.7022353,130.13,127.0979,123.896
16,139.6999412,130.571,133.2422353,128.3251765,130.024,127.0596,123.896
17,138.1675882,131,133.2387059,129.034,130.028,127.0464,123.83
18,137.947,131.549,133.294,128.684,130.031,127.045,124.04
19,138.7558235,131.89,133.3045882,129.1516471,130.035,127.0079,127.87
20,139.697,132.704,133.6392941,131.0992941,130.251,127.0461,133.19
21,138.4499412,133.519,132.8222353,133.9786471,130.498,127.0491,136.6
22,138.5440588,134.333,133.784,134.4445294,130.746,127.0147,136.155
23,139.3881765,135.148,133.8310588,134.7441765,130.993,127.0521,136.161
24,140.5017059,136.72,133.8545882,134.9591765,132.048,127.0643,136.172
25,142.1475882,138.292,135.0395882,135.4313529,133.221,127.0641,136.159
26,143.8681765,139.799,135.3895882,135.9122941,133.741,127.0394,136.155
27,146.1394706,141.305,136.5084706,136.4625294,134.165,134.6832,136.155
28,147.4462353,141.863,137.8392353,138.3335882,135.577,141.9429,136.187
29,148.5109412,142.42,138.9807059,137.5402353,137.134,141.8483,136.187
30,149.9928824,142.42,140.1979412,138.3070588,138.495,141.8175,136.227
31,150.0422941,142.372,142.1253529,138.9983529,139.983,141.9228,136.227
32,149.9243529,142.42,142.6577059,138.9382941,139.979,142.0044,136.234
33,152.0804118,142.32,146.2375294,140.3041765,139.932,142.0502,136.234
34,151.4204118,142.32,148.514,142.8384706,139.932,142.0829,136.225
35,150.821,142.32,148.244,142.692,139.965,142.11,136.225
