Ground,LOB,ROB,KM
123.830,136.380,136.600,200
123.830,136.380,136.600,198.632
123.830,136.380,136.600,198.534
122.999,133.254,135.941,197.645
121.943,127.987,127.025,196.090
121.943,127.987,127.025,196.077
121.943,127.987,127.025,196.067
121.943,127.987,127.025,196.056
122.012,132.637,132.910,192.901
123.000,136.376,136.356,188.772
123.000,136.376,136.356,188.766
123.000,136.376,136.356,188.756
123.000,136.376,136.356,188.741
122.673,132.011,134.290,187.911
124.230,132.340,133.620,184.833
124.300,132.390,133.480,184.706
125.000,132.050,134.279,180.904
125.057,136.863,138.188,176.589
125.000,138.354,140.836,172.208
125.000,138.354,140.836,172.199
125.000,138.354,140.836,172.189
125.000,138.354,140.836,172.185
125.091,137.236,134.500,171.936
125.915,136.528,135.343,166.845
126.025,137.494,136.432,161.026
126.859,139.814,139.866,158.401
126.859,139.814,139.866,158.397
126.859,139.814,139.407,158.362
126.859,139.814,139.407,158.357
125.773,134.503,136.683,156.584
126.256,136.475,136.594,152.101
127.890,139.577,142.408,146.430
127.890,139.577,142.408,146.425
127.890,139.577,142.408,146.415
127.890,139.577,142.408,146.409
127.750,140.954,142.992,144.220
127.000,138.459,136.697,139.208
127.034,141.534,143.464,133.551
127.034,141.534,143.464,133.376
127.034,141.534,143.464,133.366
127.034,141.534,143.464,133.356
127.034,141.534,143.464,133.351
127.105,140.157,138.580,130.485
127.000,138.737,136.091,123.872
127.000,142.312,142.131,122.818
127.000,142.312,142.131,122.709
127.500,141.967,138.695,119.467
128.000,142.232,143.730,119.244
128.000,142.232,143.730,119.239
128.000,142.232,143.730,119.229
128.000,142.232,143.730,119.226
128.000,138.094,138.878,116.955
128.000,138.956,139.772,114.891
129.046,138.822,141.167,109.848
129.481,137.132,142.420,105.615
129.481,137.132,142.420,105.612
129.481,137.132,142.420,105.602
129.481,137.132,142.420,105.598
130.000,139.947,138.217,104.307
129.810,138.580,139.430,100.064
129.996,140.731,139.849,94.789
131.000,141.754,139.542,89.373
132.404,141.676,146.517,87.536
132.404,141.676,146.517,87.525
132.404,141.676,146.517,87.515
132.404,141.676,146.517,87.504
132.510,141.416,142.230,87.477
131.679,143.741,145.291,84.209
132.100,143.909,143.608,79.231
132.173,146.006,148.069,74.686
132.136,144.968,142.077,74.231
132.295,147.333,145.906,72.675
132.404,148.959,148.694,71.942
132.404,148.959,148.694,71.932
132.404,148.959,148.694,71.897
132.404,148.959,148.694,71.892
131.000,142.256,143.000,67.222
131.887,144.019,143.638,62.690
131.796,145.375,151.275,61.469
131.796,145.375,151.275,61.458
131.796,145.375,151.275,61.448
131.796,145.375,151.275,61.436
131.787,142.907,143.474,57.285
132.700,144.850,146.325,52.263
132.668,148.152,144.616,51.966
132.668,148.152,144.616,51.961
132.668,148.152,144.616,51.951
132.668,148.152,144.616,51.945
133.447,149.441,147.329,47.737
135.020,140.550,145.030,39.344
135.942,146.890,145.004,33.624
135.734,148.797,148.993,32.955
135.734,148.797,148.993,32.948
135.734,148.797,148.993,32.938
135.734,148.797,148.993,32.933
137.000,143.537,149.395,28.842
138.000,152.022,147.860,24.144
138.000,147.673,150.382,18.982
138.953,147.173,147.920,13.764
138.550,150.219,144.701,9.718
138.550,150.219,144.701,9.709
138.550,150.219,144.701,9.699
138.550,150.219,144.701,9.697
138.502,148.341,150.700,8.751
137.930,147.104,147.730,3.420
137.947,152.290,152.251,0.109
137.947,152.290,152.251,0.104
137.947,152.290,152.251,0.094
137.947,152.290,152.251,0.088
137.947,152.290,152.251,0.000
